id;code;libelle;p_uht;t_va;p_uttc
1;Buckinghamshire;Licensed;copy lavender;2022-10-05T08:21:08;9727
2;backing compress;Home visualize;c fuchsia;2022-10-05T04:45:22;11564
3;leverage Languedoc-Roussillon invoice;Persistent Pants;program HTTP XSS;2022-10-05T02:28:49;27802
4;Borders Mouse Intelligent;Outdoors;Computer Cambridgeshire;2022-10-04T23:32:14;58058
5;XSS copying AI;matrix a;Small capacitor;2022-10-05T02:26:59;64010
6;a wireless compress;rich yellow;e-commerce c;2022-10-05T19:33:29;12067
7;Plastic;Berkshire Incredible invoice;synergistic back Account;2022-10-05T09:53:39;5406
8;parsing circuit;Franc;Royale Huchette;2022-10-05T13:42:06;66865
9;human-resource Île-de-France;Manager Soft withdrawal;Garden;2022-10-05T05:21:48;23613
10;navigate Plastic;sensor Borders;Loan;2022-10-05T09:17:50;56441
