id;start_date;end_date;language
1;2022-10-04T21:10:47;2022-10-04T19:01:02;ENGLISH
2;2022-10-04T06:38:22;2022-10-04T16:03:51;FRENCH
3;2022-10-04T16:34:34;2022-10-04T04:39:42;SPANISH
4;2022-10-04T21:05:23;2022-10-04T02:31:42;FRENCH
5;2022-10-04T23:21:46;2022-10-04T07:40:44;ENGLISH
6;2022-10-04T08:52:29;2022-10-04T22:52:49;SPANISH
7;2022-10-04T16:56:17;2022-10-04T03:30:26;FRENCH
8;2022-10-04T07:22:10;2022-10-04T03:57:59;FRENCH
9;2022-10-04T08:13:48;2022-10-04T19:45:14;FRENCH
10;2022-10-04T04:10:46;2022-10-04T21:08:15;FRENCH
